Epoca,Treinamento 1 EQM,Treinamento 2 EQM,Treinamento 3 EQM,Treinamento 4 EQM,Treinamento 5 EQM
0,0.04939616654343789,0.06066760926265971,0.035261251825155826,0.018321718516263668,0.026396984138095256
1,0.009656663370762146,0.009666000136141028,0.009412880955966653,0.010573264742498912,0.01071861579113879
2,0.009292905246610153,0.009297391493580187,0.009100213898763478,0.010294231914587391,0.010319198870589734
3,0.00896873143149446,0.009006305681838654,0.008815888795854198,0.010029685475192684,0.009953225751675765
4,0.008652955401627508,0.008719661750329965,0.008536049567911404,0.00976617748910823,0.009597775354115263
5,0.008345069317869774,0.008437048387956175,0.008260474343870361,0.009503585190003893,0.009251948510454827
6,0.008044786312806163,0.008158459018849394,0.007989148010062359,0.009242009891356264,0.008915209147822007
7,0.007751880633458315,0.007883930096955729,0.007722093344287879,0.008981591585602793,0.008587130828269684
8,0.007466177793258001,0.007613532535546058,0.007459364338829806,0.008722501055800587,0.00826737804689927
9,0.007187546625288092,0.007347366662581448,0.0072010412659596675,0.00846493543265129,0.007955692720587779
10,0.006915892143030851,0.007085557388294564,0.006947226016723561,0.008209113983903912,0.0076518821037166295
11,0.0066511491058735325,0.0068282495467806995,0.006698037682171568,0.00795527407115277,0.007355807917572585
12,0.006393276212089183,0.0065756034117513806,0.006453608367738253,0.00770366727054586,0.007067376564922505
13,0.0061422508575400495,0.006327790393302469,0.006214079238694872,0.007454555658543502,0.0067865303265081285
14,0.005898064410813639,0.006084988927794842,0.00597959680012436,0.007208208266747629,0.00651323945559315
15,0.005660717965404367,0.0058473805769874,0.005750309418893035,0.0069648977120096165,0.006247495101837122
16,0.005430218537276174,0.005615146355365332,0.005526364097683294,0.006724897009594365,0.005989303007358955
17,0.0052065756819994705,0.005388463306158217,0.005307903512405661,0.006488476578179667,0.005738677926472715
18,0.004989798509921572,0.005167501346851171,0.005095063324346006,0.006255901445946876,0.005495638726739145
19,0.004779893080743749,0.004952420404107236,0.004887969777365488,0.006027428667012477,0.0052602041331278
20,0.004576860160660198,0.00474336785602403,0.004686737588520942,0.005803304956999957,0.005032389079628694
21,0.0043806933260678695,0.004540476296667239,0.004491468137788645,0.005583764555697984,0.0048122016339466386
22,0.0041913773979727845,0.0043438616340158295,0.004302247959343359,0.005369027323534671,0.004599640461277278
23,0.004008887190777773,0.004153621528004661,0.004119147533257092,0.005159297077064181,0.00439469279288528
24,0.0038331865583063553,0.003969834170465275,0.003942220372723471,0.004954760166856873,0.004197332864531766
25,0.003664227718851459,0.00379255740365956,0.0037715023981576305,0.004755584299159566,0.004007520788945347
26,0.0035019508398743348,0.003621828168986497,0.0036070115859249395,0.004561917600502961,0.0038252018256796005
27,0.003346283861839557,0.0034576622725214444,0.0034487478761474873,0.004373887922136792,0.003650306010996372
28,0.003197142539656656,0.003300054449500624,0.0032966933211342913,0.004191602378831416,0.003482748109972854
29,0.003054430679389732,0.0031489787058444577,0.003150812453560161,0.004015147114259336,0.0033224278529316543
30,0.0029180405473518967,0.0030043889114405474,0.003011052851631014,0.003844587282924082,0.0031692304185896012
31,0.002787853428461808,0.0028662196172645903,0.0028773458771487125,0.00367996723649618,0.0030230271270351573
32,0.002663740310823512,0.002734387066550767,0.0027496075616257366,0.0035213109005025308,0.002883676306776915
33,0.002545562673900912,0.0026087903691424676,0.00262773961538114,0.003368622325644632,0.002751024301633875
34,0.002433173358380412,0.002489312807837943,0.002511630534836811,0.0032218863966337447,0.0026249065851251573
35,0.0023264174968242513,0.0023758232459428173,0.00240115678397497,0.0030810696803574063,0.002505148952209836
36,0.0022251334854755133,0.002268177606280431,0.002296184027054584,0.002946121394451463,0.002391568760668985
37,0.0021291539790427596,0.002166220393502038,0.0021965683911475127,0.002816974476953806,0.002283976197045096
38,0.002038306891919596,0.002069786233583642,0.0021021577387760225,0.0026935467376571097,0.0021821755447943665
39,0.001952416391034822,0.001978701406789211,0.002012792932842479,0.002575742072044882,0.0020859664350999624
